method,target,eval_set,n_queries,n_queries_with_pos,spearman_r,P@1,P@3,R@1,R@3,MRR
Logprob-only,helpful,all_queries,40,4,0.039,0.05,0.067,0.092,0.588,0.075
Logprob-only,helpful,nontrivial_queries,4,4,0.039,0.5,0.667,0.092,0.588,0.75
Logprob-only,harmful,all_queries,40,3,0.039,0.025,0.017,0.333,0.444,0.038
Logprob-only,harmful,nontrivial_queries,3,3,0.039,0.333,0.222,0.333,0.444,0.5
Factuality-aware,helpful,all_queries,40,4,0.723,0.1,0.083,0.404,0.712,0.1
Factuality-aware,helpful,nontrivial_queries,4,4,0.723,1.0,0.833,0.404,0.712,1.0
Factuality-aware,harmful,all_queries,40,3,0.723,0.0,0.017,0.0,0.444,0.023
Factuality-aware,harmful,nontrivial_queries,3,3,0.723,0.0,0.222,0.0,0.444,0.306
Harmfulness-aware,helpful,all_queries,40,4,-0.423,0.025,0.042,0.05,0.246,0.055
Harmfulness-aware,helpful,nontrivial_queries,4,4,-0.423,0.25,0.417,0.05,0.246,0.55
Harmfulness-aware,harmful,all_queries,40,3,-0.423,0.05,0.033,0.444,0.667,0.056
Harmfulness-aware,harmful,nontrivial_queries,3,3,-0.423,0.667,0.444,0.444,0.667,0.75
