category,layer,n,mean_drift,median_drift,max_drift
factuality-critical,0.0,16,0.0,0.0,0.0
factuality-critical,16.0,16,1.3972964397379215,1.3303499084309003,2.1862682996120317
factuality-critical,32.0,16,15.682517337564864,13.577659175685886,24.34435834600796
confidence-only,0.0,46,0.0,0.0,0.0
confidence-only,16.0,46,1.304974696170791,1.1581190939038886,2.894355491081257
confidence-only,32.0,46,14.05412144718124,12.562927767526219,34.87219859887872
factuality-disrupting,0.0,9,0.0,0.0,0.0
factuality-disrupting,16.0,9,1.428057198515899,1.5219205358503076,1.69817053388882
factuality-disrupting,32.0,9,16.73350591097932,18.686820661774547,25.00545914262972
fact-only,0.0,7,0.0,0.0,0.0
fact-only,16.0,7,0.44693316019247986,0.3797071003613964,1.021237297601038
fact-only,32.0,7,7.9576426941932334,6.975252900975866,12.830817409757188
neutral,0.0,378,0.0,0.0,0.0
neutral,16.0,378,0.5254834962418983,0.37220863492382117,2.020263862446677
neutral,32.0,378,5.6538767291393635,4.610498339464474,19.753213644309163
factuality-weak,0.0,17,0.0,0.0,0.0
factuality-weak,16.0,17,1.1656024928027982,1.2448482412031656,2.17530530281213
factuality-weak,32.0,17,10.031244260524566,8.45908688139969,20.09088464761556
